variable,importance,variable_type,normalized_importance
hour_sin,1827.5752,decoder,0.15541927014916318
day_of_year_sin,983.66846,decoder,0.08365239036548042
is_holiday,923.2329,decoder,0.0785128762100741
month_cos,914.21564,decoder,0.07774603609093814
month_sin,863.5885,decoder,0.07344064138933394
temperature_2m,812.11615,decoder,0.06906336856502825
cooling_degree,748.045,decoder,0.06361467674809415
relative_time_idx,694.0322,decoder,0.05902136469624071
is_weekend,439.88623,decoder,0.037408472747645034
precipitation,411.9782,decoder,0.035035139976512676
is_day_before_holiday,408.35178,decoder,0.03472674348609022
hour_cos,375.11853,decoder,0.03190054687985383
is_holiday_period,328.66986,decoder,0.02795049419732413
is_day_after_holiday,322.9517,decoder,0.027464213886631412
heating_degree,282.55853,decoder,0.024029129439705685
time_idx,250.72516,decoder,0.02132197967656721
temp_squared,245.18913,decoder,0.0208511891324597
day_of_week_sin,221.54214,decoder,0.01884021983696484
day_of_year_cos,213.7734,decoder,0.018179556702085202
relative_humidity_2m,186.07309,decoder,0.015823887221792902
day_of_week_cos,161.41765,decoder,0.013727157796146737
wind_speed_10m,144.29051,decoder,0.012270644805867516
