variable,importance,variable_type,normalized_importance
model_target_mw,8959.183,encoder,0.7619000673394005
day_of_week_sin,263.89114,encoder,0.02244163210211644
hour_sin,260.76163,encoder,0.02217549410590058
day_of_year_cos,186.39545,encoder,0.015851301342934075
month_cos,182.64116,encoder,0.015532032031358296
day_of_year_sin,162.85126,encoder,0.013849074097853228
temp_squared,161.96828,encoder,0.013773984347555694
temperature_2m,160.38986,encoder,0.013639753973767044
hour_cos,156.02293,encoder,0.013268384959866172
is_holiday_period,137.2429,encoder,0.011671307838290906
time_idx,130.3534,encoder,0.011085415218203635
is_day_before_holiday,114.3718,encoder,0.009726320842752108
relative_humidity_2m,112.50546,encoder,0.009567604906497123
day_of_week_cos,111.06534,encoder,0.00944513492130554
precipitation,110.34181,encoder,0.009383605367503578
cooling_degree,102.36521,encoder,0.00870526529679121
heating_degree,101.08603,encoder,0.008596482026674943
is_holiday,87.24069,encoder,0.007419057301909994
relative_time_idx,81.92077,encoder,0.006966644378704897
wind_speed_10m,56.198887,encoder,0.004779223453881695
is_weekend,53.256027,encoder,0.004528958997731022
month_sin,48.311752,encoder,0.004108491691504511
is_day_after_holiday,18.635233,encoder,0.001584763457496782
